[ERROR][2018-04-16 20:15:06,801][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/skins/moono-lisa/icons.png?t=dee99e2 HTTP/1.1" 500 59
[ERROR][2018-04-16 20:16:22,220][basehttp.py][log_message][124]> "GET /user/index/ HTTP/1.1" 500 59
[ERROR][2018-04-16 20:19:15,175][basehttp.py][log_message][124]> "GET /user/pubication HTTP/1.1" 500 59
[ERROR][2018-04-16 20:28:11,824][basehttp.py][log_message][124]> "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 500 59
[ERROR][2018-04-16 20:29:22,525][basehttp.py][log_message][124]> "GET /user/index/ HTTP/1.1" 500 59
[ERROR][2018-04-16 20:29:25,595][basehttp.py][log_message][124]> "GET /static/images/4.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:29:25,638][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:29:25,649][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:29:25,743][basehttp.py][log_message][124]> "GET /static/images/1.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:29:25,766][basehttp.py][log_message][124]> "GET /static/images/3.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:30:27,705][basehttp.py][log_message][124]> "GET /static/images/4.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:30:27,715][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:30:27,771][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:30:27,778][basehttp.py][log_message][124]> "GET /static/images/1.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:34:16,095][basehttp.py][log_message][124]> "GET /static/images/4.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:34:16,125][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:34:16,128][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 20:34:30,169][basehttp.py][log_message][124]> "GET /user/index/ HTTP/1.1" 500 59
[WARNING][2018-04-16 20:34:35,992][views.py][post_delete][95]> 4
[ERROR][2018-04-16 20:34:53,653][basehttp.py][log_message][124]> "GET /media/avatar/2018/04/14/lss.jpg HTTP/1.1" 500 59
[WARNING][2018-04-16 20:35:02,857][views.py][post_delete][95]> 5
[ERROR][2018-04-16 20:38:56,503][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
